,N,Z,A,m,be,be_RFR,be_XGB,be_MLP,BE_SEMF,be_a_semf,be_a_RFR,be_a_XGB,be_a_MLP,be_a
0,0,1,1,1.007825032,0.047823608,-1.839576153,-2.028259,0.648924434,-25.75,-25.75,-1.839576153,-2.028259,0.648924434,0.047823608
1,3,3,6,6.015122794,32.12192619,28.06495672,30.711208,33.93754328,33.3780247,5.563004116,4.677492786666667,5.118534666666666,5.656257213333333,5.353654365
2,6,1,7,7.052749,6.6285338,22.03638079,17.659521,9.205378735,-39.52849878,-5.646928397,3.1480543985714284,2.5227887142857144,1.315054105,0.9469334
3,3,5,8,8.024607233,37.95777028,39.43796526,46.73168,41.712099,35.84,4.48,4.9297456575,5.84146,5.214012375,4.744721285
4,6,2,8,8.033921897,31.48949509,34.35193629,40.64195,26.63313261,6.689,0.836125,4.29399203625,5.08024375,3.32914157625,3.936186886
5,3,6,9,9.031036689,39.30487514,39.73705684,48.901752,41.81587537,30.7794785,3.419942056,4.415228537777778,5.433528,4.646208374444445,4.367208349
6,4,5,9,9.013328782,56.52549556,49.67114808,56.444443,59.22310497,55.26427665,6.140475183,5.519016453333333,6.271604777777778,6.580344996666667,6.280610618
7,5,4,9,9.012182201,58.32752147,52.53839192,57.819542,57.19092327,57.99878183,6.444309093,5.837599102222223,6.424393555555556,6.35454703,6.480835719
8,8,2,10,10.05239884,30.42243596,43.71422291,34.809223,30.3995666,-11.10031517,-1.110031517,4.371422291,3.4809223000000005,3.03995666,3.042243596
9,8,4,12,12.02692074,68.80840386,70.59128053,67.23343,69.19736307,60.3749121,5.031242675,5.8826067108333335,5.602785833333333,5.766446922499999,5.734033655
10,7,5,12,12.0143521,79.7752487,82.07847091,79.01628,80.9278622,81.59044926,6.799204105,6.839872575833333,6.584689999999999,6.7439885166666675,6.647937392
11,4,8,12,12.0344049,58.9024149,72.50356291,73.92005,58.96246086,46.71036647,3.89253054,6.041963575833333,6.160004166666667,4.913538405,4.908534575
12,9,3,12,12.05378,44.5369918,64.23160976,60.18946,52.52388037,22.73825923,1.894854936,5.3526341466666665,5.015788333333333,4.376990030833333,3.711415983
13,6,7,13,13.00573861,94.39277729,88.03101154,82.48455,91.69725926,91.81471036,7.062670027,6.771616272307692,6.344965384615384,7.053635327692307,7.260982868
14,7,6,13,13.00335484,97.34662616,91.14790545,89.51719,92.90065284,95.4432878,7.341791369,7.011377342307692,6.885937692307692,7.146204064615385,7.488202012
15,8,6,14,14.00324199,105.5191769,98.30173442,103.79793,99.13895649,101.4820854,7.248720385,7.021552458571429,7.4141378571428564,7.0813540349999995,7.537084064
16,8,7,15,15.0001089,115.7690121,108.0695571,104.61956,110.6519486,114.2983567,7.61989045,7.20463714,6.974637333333334,7.376796573333333,7.71793414
17,8,8,16,15.99491462,127.9378152,113.9894565,124.69851,119.1160307,123.176055,7.698503439,7.12434103125,7.793656875,7.44475191875,7.99611345
18,11,5,16,16.03980883,88.34498267,88.75055573,94.81666,91.87782056,80.00883436,5.000552148,5.546909733125,5.92604125,5.742363785,5.521561417
19,9,7,16,16.00610166,118.2572399,112.4096207,118.119026,118.4046689,121.2013025,7.575081409,7.02560129375,7.382439125,7.40029180625,7.391077494
20,9,8,17,16.9991317,132.0792011,129.6164712,128.59862,128.7341733,133.1864927,7.834499572,7.624498305882353,7.564624705882354,7.572598429411765,7.769364771
21,12,5,17,17.04698991,89.72688459,93.62740704,81.44577,93.35392806,76.22341466,4.483730274,5.5074945317647055,4.790927647058823,5.491407532941176,5.278052035
22,12,6,18,18.02675935,115.8944644,114.9628252,107.84343,112.528285,105.7056006,5.872533368,6.386823622222222,5.991301666666667,6.251571388888888,6.438581356
23,7,12,19,19.03547,111.4449826,126.951461,118.87594,114.6083351,106.1516338,5.586928094,6.681655842105263,6.256628421052632,6.032017636842106,5.8655254
24,12,7,19,19.0170287,132.2866279,134.1768522,121.83342,132.5288301,130.1322815,6.849067449,7.061939589473685,6.412285263157895,6.975201584210526,6.9624541
25,13,6,19,19.03480502,116.471433,116.9692328,105.998764,114.0890976,103.3928591,5.441729428,6.156275410526316,5.578882315789474,6.004689347368421,6.130075421
26,14,7,21,21.02710824,139.037551,137.7387805,138.5251,135.5894722,129.1386213,6.149458157,6.558989547619047,6.596433333333334,6.4566415333333325,6.620835762
27,8,13,21,21.02804,133.7627284,141.2480053,142.74687,134.2737502,126.8454927,6.040261555,6.72609549047619,6.79747,6.393988104761904,6.369653733
28,14,8,22,22.00996695,162.3290204,162.2783888,156.26132,155.5148447,153.7531767,6.988780757,7.376290399999999,7.102787272727273,7.068856577272727,7.378591836
29,14,9,23,23.00357463,175.6131987,176.6871853,171.91579,175.5492533,174.5293752,7.588233704,7.682051534782609,7.474599565217391,7.632576230434783,7.635356465
30,10,13,23,23.00726743,169.2369659,173.1036735,172.13548,169.6493754,170.0153495,7.391971715,7.526246673913044,7.484151304347826,7.3760598,7.358128952
31,9,15,24,24.03435,150.6214626,165.6837659,165.19698,152.2353123,142.5851459,5.941047744,6.903490245833333,6.8832075,6.3431380125,6.275894275
32,14,11,25,24.98995397,202.9598899,200.5621792,196.77983,199.9039071,206.282697,8.25130788,8.022487168,7.8711932000000004,7.996156284,8.118395596
33,12,13,25,24.9904281,201.0493569,199.4982358,195.6381,202.2553416,202.6814023,8.107256093,7.9799294320000005,7.825524000000001,8.090213664,8.041974276
34,18,7,25,25.06066,140.070812,155.690518,145.13956,141.8466101,116.6414804,4.665659216,6.22762072,5.8055824,5.673864404,5.60283248
35,18,8,26,26.03834,168.1836604,172.6696983,178.06181,161.7194504,148.6865194,5.718712285,6.6411422423076925,6.848531153846154,6.219978861538461,6.468602323
36,10,16,26,26.02788,172.0454484,183.2906056,189.83006,171.1044067,162.8649223,6.264035475,7.0496386769230766,7.301156153846154,6.580938719230769,6.617132631
37,13,13,26,25.98689169,212.409242,215.0673643,217.40733,212.3054619,215.8403337,8.301551296,8.271821703846154,8.361820384615385,8.165594688461539,8.169586231
38,12,16,28,28.00437276,210.0656636,209.0186505,212.50182,207.5900229,207.1309788,7.397534957,7.464951803571429,7.589350714285715,7.413929389285714,7.502345129
39,16,12,28,27.98387683,232.0856105,225.6750928,226.02821,226.8665502,232.4185632,8.300662972,8.059824742857142,8.072436071428571,8.102376792857143,8.288771804
40,20,8,28,28.05781,166.1920652,175.4529522,178.0739,164.8753481,141.8706729,5.066809747,6.266176864285714,6.359782142857143,5.888405289285714,5.9354309
41,14,15,29,28.98180061,239.8823817,230.8965871,232.90915,241.1039944,239.3177291,8.252335485,7.961951279310345,8.03135,8.31393084137931,8.271806266
42,18,11,29,29.002861,223.2133946,219.0688279,215.70433,224.1047627,223.2322874,7.697665082,7.554097513793104,7.438080344827586,7.727750437931035,7.697013607
43,17,12,29,28.9886,235.7558266,225.4356745,223.9379,234.2444702,237.7548087,8.198441679,7.773643948275862,7.721996551724138,8.07739552413793,8.129511262
44,16,13,29,28.98044505,242.6135261,233.5478206,237.91745,239.2435188,245.2765561,8.457812278,8.05337312413793,8.20405,8.249776510344828,8.365983659
45,15,14,29,28.9764947,245.5567429,232.9833276,234.48364,241.7463667,245.7975295,8.47577688,8.033907848275861,8.08564275862069,8.336081610344827,8.467473893
46,19,10,29,29.01938593,208.5632438,208.3996282,199.7313,204.2184962,201.7089921,6.955482488,7.186194075862069,6.887286206896552,7.042017110344828,7.191835993
47,18,12,30,29.990434,242.11586,239.2943971,237.87883,241.5817311,241.9985196,8.066617321,7.976479903333333,7.929294333333333,8.05272437,8.070528667
48,14,16,30,29.98490325,244.3267523,242.2729472,250.4903,243.5473506,242.5658533,8.085528445,8.075764906666667,8.349676666666666,8.11824502,8.144225077
49,19,11,30,30.008976,225.587817,228.7678648,225.77148,225.8602997,224.9125813,7.497086043,7.625595493333334,7.525716,7.528676656666667,7.5195939
50,21,10,31,31.03311,211.9211094,212.0866163,204.7717,207.3076034,199.7182754,6.442525012,6.841503751612903,6.60553870967742,6.687342045161291,6.836164819
51,19,12,31,30.996546,244.4930754,246.7160687,237.12007,245.594824,245.2574254,7.91152985,7.958582861290322,7.649034516129032,7.922413677419354,7.8868734
52,17,14,31,30.97536323,262.7451163,261.4840386,258.10596,258.9087178,264.5213904,8.532948077,8.434968987096775,8.32599870967742,8.351894122580644,8.475648913
53,20,12,32,31.998975,250.2991638,251.1503048,245.61354,248.5075547,247.6257149,7.738303591,7.848447025,7.675423125,7.765861084375,7.821848869
54,16,17,33,32.97745189,274.7318716,272.4372167,279.8773,278.3527373,275.6074555,8.351741076,8.255673233333335,8.481130303030303,8.434931433333333,8.32520823
55,23,10,33,33.04938,212.9087142,217.9881448,221.13487,210.4244759,195.296048,5.918062061,6.605701357575757,6.701056666666667,6.37649926969697,6.451779218
56,20,13,33,32.99084334,265.2026677,265.3694772,269.34058,267.093525,266.8479371,8.086301123,8.04149930909091,8.161835757575757,8.093743181818182,8.036444476
57,16,18,34,33.98027124,279.4399852,274.3131331,276.2107,278.9924707,278.7412119,8.198270939,8.068033326470589,8.123844117647058,8.205660902941176,8.218823094
58,16,19,35,34.98800969,279.5684166,275.7969339,279.68066,278.7392621,280.3607154,8.010306154,7.879912397142857,7.990876,7.963978917142858,7.987669046
59,17,18,35,34.97525759,292.1751807,293.7464749,289.6245,295.2227918,293.6028295,8.388652273,8.392756425714285,8.274985714285714,8.434936908571428,8.347862306
60,23,12,35,35.01734,257.403811,259.178934,256.7695,253.585719,250.1663813,7.147610895,7.405112400000001,7.336271428571428,7.2453062571428575,7.3543946
61,16,20,36,35.99308706,282.1743135,276.4576892,281.8343,278.4619557,280.5732471,7.793701307,7.6793802555555555,7.8287305555555555,7.735054324999999,7.838175375
62,21,15,36,35.97825968,299.6513993,299.9046554,299.08878,300.6205478,304.0124747,8.444790965,8.330684872222223,8.308021666666667,8.350570772222222,8.323649981
63,23,14,37,36.99293608,294.7897173,299.9926205,294.68442,294.4591319,294.3867634,7.956399012,8.107908662162162,7.964443783783784,7.958354916216216,7.967289657
64,25,12,37,37.0314,260.4489258,261.1712305,253.31564,256.6784898,248.6877532,6.721290628,7.058681905405405,6.846368648648649,6.937256481081081,7.039160157
65,22,15,37,36.97960895,306.4627163,308.9730196,304.3172,307.9509872,308.9096686,8.348909962,8.35062215135135,8.22478918918919,8.322999654054053,8.282776116
66,20,18,38,37.96273239,328.0386041,322.2254136,326.2921,329.5863657,330.1002841,8.686849583,8.479616147368422,8.586634210526316,8.673325413157894,8.632594845
67,24,14,38,37.9956336,300.3458136,304.0342773,302.89365,297.3756512,296.4504681,7.801328109,8.000902034210526,7.970885526315789,7.825675031578947,7.9038372
68,23,16,39,38.97513431,326.029022,325.6867157,326.78757,327.6247309,329.4491675,8.44741455,8.350941428205127,8.379168461538463,8.400634125641025,8.359718513
69,20,19,39,38.96370668,334.4644685,330.8346433,332.44504,336.6494607,337.2331201,8.647003079,8.482939571794871,8.524231794871795,8.632037453846154,8.576012013
70,23,17,40,39.97041547,337.7551904,338.0069653,335.638,339.9835869,343.9317732,8.59829433,8.450174132499999,8.39095,8.499589672499999,8.44387976
71,25,15,40,39.99129695,319.7836505,321.0858596,314.87225,318.8936255,318.9014282,7.972535705,8.02714649,7.871806250000001,7.972340637499999,7.994591263
72,18,22,40,39.99049884,315.384778,317.196365,309.22855,313.9255837,316.2812176,7.907030439,7.929909125,7.73071375,7.8481395925,7.88461945
73,27,14,41,41.01456,306.9277974,316.0164304,317.56476,302.9449363,298.8869401,7.289925368,7.7077178146341465,7.745481951219512,7.388900885365853,7.486043839
74,28,13,41,41.03833,285.5324864,302.5870651,303.33917,282.9185523,271.8772395,6.631152183,7.380172319512195,7.398516341463416,6.900452495121951,6.964206985
75,24,18,42,41.96304574,360.0168249,355.8878978,354.87927,359.6165883,363.522135,8.655288928,8.473521376190476,8.449506428571429,8.562299721428571,8.571829164
76,29,13,42,42.04689,285.6306138,301.8599334,302.92902,284.4816235,270.0608608,6.430020496,7.187141271428571,7.2125957142857136,6.7733719880952385,6.8007289
77,20,22,42,41.9730309,347.7824049,346.8758743,335.58334,349.9010367,349.6704315,8.325486465,8.258949388095239,7.990079523809524,8.330977064285715,8.28053345
78,25,17,42,41.9732548,351.246749,349.5328786,343.8388,354.6464469,354.6766271,8.444681598,8.322211395238096,8.186638095238095,8.443963021428571,8.363017833
79,19,24,43,42.99771,331.4045322,336.9950828,343.91165,331.8715906,332.9712325,7.743517035,7.837094948837208,7.997945348837209,7.71794396744186,7.707082144
80,28,15,43,43.00619,330.1206832,333.6276039,331.87695,326.0787048,323.0112618,7.51188981,7.758781486046511,7.7180686046511635,7.583225693023256,7.677225191
81,29,14,43,43.02866,309.9356722,329.3954778,328.3349,306.0381433,297.8286286,6.926247176,7.6603599488372085,7.635695348837209,7.117166123255814,7.20780633
82,25,18,43,42.96563606,365.6727243,367.5477258,370.16394,366.9644928,369.6679978,8.596930181,8.54762153023256,8.608463720930233,8.534057972093024,8.504016844
83,26,17,43,42.9740544,358.5698088,362.226395,359.46048,358.9302092,358.9309464,8.347231313,8.423869651162791,8.359546046511628,8.34721416744186,8.338832763
84,30,14,44,44.03526,311.8585596,331.3706445,330.91995,307.5798393,296.6071208,6.741070926,7.531151011363637,7.520907954545454,6.990450893181818,7.087694536
85,19,25,44,44.00687,330.2095006,338.7709453,337.97333,332.5277776,330.9233599,7.520985452,7.699339665909091,7.6812120454545445,7.55744949090909,7.504761377
86,20,25,45,44.99451,349.784148,350.1670909,346.87848,349.2882703,350.4506867,7.787793038,7.781490908888889,7.708410666666667,7.761961562222223,7.772981067
87,28,17,45,44.98028689,368.9023354,371.4033927,363.58557,364.7750636,365.4557684,8.121239297,8.253408726666667,8.079679333333333,8.106112524444445,8.197829676
88,26,20,46,45.95369259,399.5254391,396.0473002,397.4157,398.9583922,402.0265667,8.739707971,8.609723917391305,8.639471739130435,8.673008526086956,8.685335633
89,21,25,46,45.98672,365.1041254,365.241724,365.3176,366.9419732,368.6753437,8.014681385,7.940037478260869,7.94168695652174,7.976999417391305,7.937046204
90,31,16,47,47.00859,359.4216738,363.8152445,366.98114,352.2693642,347.687942,7.397615787,7.740749882978723,7.808109361702127,7.4950928553191485,7.647269655
91,29,18,47,46.97218679,391.8439443,395.8234372,397.76642,386.2399385,387.1273748,8.236752655,8.421775259574469,8.463115319148935,8.217871031914893,8.337105198
92,25,23,48,47.95225371,414.7963342,415.3844971,412.01956,416.4270917,419.93435,8.748632292,8.653843689583333,8.583740833333334,8.675564410416667,8.641590296
93,33,16,49,49.023619,361.5646496,375.7042393,376.47092,355.3727027,346.9853453,7.081333577,7.66743345510204,7.6830799999999995,7.252504136734694,7.3788704
94,24,25,49,48.95961801,414.5385403,418.2946268,418.17993,413.310507,416.3356094,8.496645089,8.536625036734694,8.534284285714286,8.434908306122448,8.45997021
95,31,19,50,49.97278336,414.7564408,414.7894399,411.09787,410.7059762,411.6565105,8.233130209,8.295788798,8.2219574,8.214119524000001,8.295128816
96,25,25,50,49.95423823,427.6146029,429.1309643,424.82346,425.5821216,430.1197766,8.602395532,8.582619286,8.4964692,8.511642432,8.552292058
97,23,27,50,49.98154,400.727537,401.3946141,396.05295,401.7489248,402.8502772,8.057005543,8.027892282,7.9210590000000005,8.034978496,8.01455074
98,29,21,50,49.95218769,432.4618916,431.8212318,429.15668,433.0597621,434.5228933,8.690457865,8.636424636000001,8.5831336,8.661195242,8.649237832
99,28,22,50,49.94479119,438.6134741,433.8214941,431.46634,438.104743,439.6890994,8.793781987,8.676429882,8.6293268,8.76209486,8.772269482
100,29,22,51,50.94661496,444.9830316,442.1375664,445.22397,445.3369813,447.1086654,8.766836577,8.669364047058824,8.729881764705883,8.732097672549019,8.725157482
101,32,19,51,50.97638,419.4754564,417.9294599,417.57376,413.6351814,414.3510017,8.124529445,8.194695292156862,8.187720784313726,8.110493752941176,8.225008949
102,34,18,52,51.99678,409.2851028,412.4494116,404.12088,400.0603846,396.0504492,7.616354792,7.931719453846155,7.771555384615384,7.693468934615385,7.870867362
103,31,21,52,51.95667547,444.4187432,447.2869636,438.3703,447.4360785,445.434774,8.566053346,8.601672376923077,8.430198076923077,8.604539971153846,8.546514292
104,32,20,52,51.9651,437.3100648,437.9353588,430.29977,432.0035181,433.000463,8.326931981,8.421833823076923,8.274995576923077,8.307759963461539,8.409808938
105,25,27,52,51.96359,433.5739618,434.9354792,423.46753,434.8074408,435.4708973,8.374440332,8.36414383076923,8.143606346153847,8.361681553846154,8.337960804
106,26,26,52,51.94811388,448.7167885,447.3348635,442.8503,442.4146803,447.1993699,8.599987882,8.602593528846153,8.516351923076924,8.507974621153846,8.62916901
107,28,24,52,51.94050747,457.2674742,452.3990371,451.88397,454.4070357,458.5749233,8.818748526,8.699981482692307,8.690076346153846,8.738596840384615,8.793605273
108,34,19,53,52.98712,425.6114912,429.2450594,427.62436,419.5436335,418.2497493,7.891504704,8.09896338490566,8.068384150943396,7.915917613207547,8.030405494
109,27,26,53,52.94530794,459.3966061,459.7261615,461.8334,454.7108513,460.1167081,8.681447322,8.674078518867924,8.713837735849056,8.579450024528303,8.667860492
110,35,18,53,53.00494,409.7556302,423.9365655,420.56454,401.6190935,396.4450595,7.480095462,7.998803122641509,7.935180000000001,7.577718745283019,7.731238306
111,28,25,53,52.94129012,463.8717555,461.9137308,464.95068,462.0520218,466.0034858,8.792518599,8.715353411320754,8.77265433962264,8.717962675471698,8.752297274
112,32,22,54,53.9510524,465.0542372,464.6357655,464.1864,467.0193237,465.4040172,8.618592911,8.604366027777777,8.596044444444445,8.648505994444443,8.612115504
113,26,28,54,53.9579055,454.2666471,453.5925786,453.02515,451.6441961,452.2338853,8.374701579,8.399862566666668,8.38935462962963,8.363781409259259,8.412345317
114,29,25,54,53.94035885,472.8062552,472.3989884,471.91132,471.4299453,476.3119145,8.820591008,8.748129414814814,8.739098518518519,8.730184172222222,8.755671393
115,31,24,55,54.94083967,481.1606582,477.9550932,479.21976,482.5731492,484.5019693,8.809126715,8.690092603636364,8.713086545454546,8.774057258181818,8.748375604
116,34,21,55,54.96824395,457.8509505,455.8165346,454.78152,456.2993369,457.4715987,8.317665431,8.287573356363637,8.268754909090909,8.29635158,8.324562736
117,30,25,55,54.93804514,483.0278067,480.080785,480.59235,480.7935655,485.8697074,8.83399468,8.728741545454545,8.738042727272727,8.74170119090909,8.782323758
118,29,27,56,55.93983928,487.9558317,490.2201245,489.41467,483.6476227,489.3045774,8.737581739,8.753930794642857,8.739547678571428,8.63656469107143,8.713496995
119,35,21,56,55.97287,461.6115854,462.57753,461.38422,459.264486,460.4544427,8.222400762,8.260313035714287,8.23900392857143,8.201151535714285,8.243064025
120,36,20,56,55.98557,450.5224444,452.7200243,453.24246,443.8915114,442.4952037,7.901700066,8.084286148214286,8.093615357142857,7.9266341321428575,8.04504365
121,28,28,56,55.94213202,485.0867318,484.3535546,485.84738,476.1093077,480.96205,8.588608036,8.649170617857143,8.675846071428571,8.501951923214286,8.662263068
122,26,31,57,56.98293,452.9676228,456.7564323,456.4295,453.6230715,451.9052158,7.92816168,8.013270742105263,8.0075350877193,7.9582995,7.9468004
123,32,25,57,56.93828538,498.939118,496.1258845,497.3759,499.5711688,502.8928608,8.822681769,8.703962885964913,8.72589298245614,8.76440647017544,8.75331786
124,28,30,58,57.95459156,488.1527568,487.0336918,481.43942,484.9957568,485.3548962,8.368187865,8.397132617241379,8.300679655172413,8.361995806896552,8.416426841
125,32,26,58,57.93327556,510.9361888,506.1582999,506.55414,507.1562236,512.6884851,8.83945664,8.726867239655173,8.733692068965517,8.744072820689654,8.809244634
126,33,25,58,57.93998155,505.4274711,503.6707928,503.19165,508.9762769,510.431072,8.800535724,8.683979186206896,8.675718103448276,8.77545305,8.714266743
127,38,22,60,59.97676,489.525386,487.0297797,486.80734,486.4713797,487.1675571,8.119459285,8.117162995,8.113455666666667,8.107856328333334,8.158756433
128,27,33,60,59.99313,466.204767,479.1641,478.36902,470.3996853,466.1880478,7.769800797,7.986068333333334,7.972817,7.839994755,7.77007945
129,33,27,60,59.93381706,525.8324681,524.2060301,523.9883,524.1862735,530.4798766,8.841331276,8.736767168333333,8.733138333333333,8.736437891666666,8.763874468
130,37,23,60,59.96502686,499.7143803,500.3590647,497.63577,501.8578291,502.8764823,8.381274705,8.339317744999999,8.293929499999999,8.364297151666667,8.328573005
131,30,30,60,59.94182704,516.1714998,514.5828699,510.35025,509.6456392,514.1885002,8.569808337,8.576381164999999,8.5058375,8.494093986666666,8.60285833
132,32,28,60,59.93078637,527.9194815,523.7761168,523.4298,522.4042464,528.5726484,8.809544141,8.729601946666666,8.72383,8.706737440000001,8.798658025
133,34,27,61,60.93247576,535.1487058,532.4839413,536.8733,533.5599547,539.0898807,8.837539028,8.729244939344262,8.801201639344262,8.74688450327869,8.772929603
134,34,28,62,61.92834512,546.3272601,541.1018504,539.6861,541.1541059,548.0947119,8.840237288,8.7274492,8.704614516129032,8.72829203064516,8.811730002
135,36,26,62,61.93676744,539.9551982,536.7306541,529.3552,544.7425874,542.6721523,8.752776649,8.656946033870968,8.537987096774193,8.78617076451613,8.70895481
136,37,25,62,61.94842822,529.833571,530.7907801,524.1338,538.5277949,534.8348524,8.626368587,8.56114161451613,8.453770967741935,8.685932175806451,8.545702758
137,30,32,62,61.95465,518.8991808,517.4791334,513.337,517.2282107,517.9316705,8.35373662,8.346437635483872,8.279629032258065,8.34239049516129,8.369341626
138,36,27,63,62.93361161,550.2262043,552.307891,549.0764,552.3468244,554.5157664,8.801837561,8.76679192063492,8.715498412698413,8.76740991111111,8.733749275
139,32,31,63,62.9392942,541.997477,544.7292035,543.79785,538.5260562,543.8707005,8.632868262,8.646495293650794,8.631711904761906,8.548032638095238,8.603134556
140,37,26,63,62.94036909,544.6695494,545.9817,539.687,552.3239887,548.7597956,8.710472946,8.666376190476191,8.566460317460317,8.767047439682539,8.645548403
141,40,23,63,62.97755,512.2577992,511.2495409,517.47375,510.7343923,511.2905139,8.115722442,8.115072077777779,8.213869047619047,8.106895115873016,8.131076178
142,39,24,63,62.96186,526.1306302,529.4764719,529.65985,526.0656963,527.1471693,8.367415386,8.404388442857142,8.407299206349206,8.350249147619047,8.351279844
143,38,26,64,63.94120127,551.9622772,550.6082106,549.99615,559.5424424,554.3375,8.661523438,8.603253290625,8.59368984375,8.7428506625,8.624410581
144,35,29,64,63.92976418,560.406531,557.8533393,559.3411,558.1932354,565.53575,8.836496094,8.7164584265625,8.7397046875,8.721769303125,8.756352047
145,34,30,64,63.92914222,560.2510168,555.7555423,557.6396,556.43613,562.6325,8.791132813,8.6836803484375,8.71311875,8.69431453125,8.753922138
146,32,33,65,64.949564,547.10215,547.3933665,541.62506,545.9141267,548.8899541,8.444460832,8.421436407692307,8.33269323076923,8.398678872307693,8.416956154
147,34,31,65,64.93273475,564.2392998,564.5511103,562.3533,562.8237265,568.254083,8.742370508,8.685401696923076,8.65158923076923,8.658826561538461,8.680604612
148,41,25,66,65.96108,550.3247134,551.6531831,551.93396,550.3068283,551.3082164,8.353154794,8.358381562121211,8.362635757575758,8.337982246969696,8.338253233
149,42,24,66,65.97338,539.6079724,544.307364,542.44745,534.9282791,535.3349673,8.111135868,8.247081272727273,8.218900757575758,8.104973925757577,8.17587837
150,35,31,66,65.93158901,573.3734711,574.7827868,576.1549,573.4045876,579.4311223,8.779259429,8.708830103030303,8.729619696969698,8.687948296969697,8.687476835
151,39,27,66,65.939762,568.7026534,569.7086919,574.41705,579.0840077,573.5809163,8.690619943,8.631949877272726,8.703288636363636,8.774000116666667,8.61670687
152,38,28,66,65.92913933,577.8578002,575.3083082,579.20306,578.7125585,579.880367,8.786066166,8.716792548484849,8.77580393939394,8.768372098484848,8.755421215
153,41,26,67,66.95094724,567.0912414,570.9685154,561.23004,568.6162592,568.2419071,8.481222494,8.521918140298508,8.37656776119403,8.48680983880597,8.464048379
154,42,25,67,66.96414,555.5433408,556.4848356,554.2521,553.250152,554.3559212,8.273968974,8.305743814925373,8.272419402985076,8.25746495522388,8.291691654
155,40,27,67,66.94088953,575.7204104,578.5423772,574.2442,584.0260585,578.9479294,8.641013871,8.634960853731343,8.57080895522388,8.716806843283582,8.592841946
156,43,25,68,67.9693,558.8068682,565.9573975,564.13135,556.2227426,557.0136764,8.191377594,8.322902904411764,8.296049264705882,8.179746214705881,8.217748062
157,34,35,69,68.950106,577.3983796,576.4686406,573.67615,577.6359921,580.6752875,8.415583877,8.354617979710145,8.314147101449276,8.371536117391305,8.368092458
158,39,30,69,68.92655028,603.0015499,601.4364875,600.2576,602.6760032,608.6685231,8.821282943,8.716470833333334,8.699385507246378,8.734434828985506,8.739152897
159,34,36,70,69.955259,579.933865,583.6066219,581.67426,580.6677355,581.4389131,8.306270187,8.337237455714286,8.309632285714287,8.295253364285715,8.2847695
160,43,29,72,71.93582031,619.3081732,622.0799431,620.03345,628.4103041,622.642687,8.647815097,8.639999209722223,8.611575694444445,8.727920890277778,8.601502406
